time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1942-02-21T07:07:42.520Z,37.721,141.815,35,6.62,mw,,,,,iscgem,iscgem900206,2022-04-26T19:16:56.480Z,"76 km ENE of Namie, Japan",earthquake,,9.1,0.28,,reviewed,iscgem,iscgem
1942-02-20T00:43:06.460Z,-4.735,129.122,15,5.93,mw,,,,,iscgemsup,iscgemsup900205,2022-05-09T16:39:00.636Z,"155 km SE of Ambon, Indonesia",earthquake,,18.1,0.72,,reviewed,iscgemsup,iscgemsup
1942-02-14T10:44:59.290Z,40.78,72.171,10,5.77,mw,,,,,iscgem,iscgem900198,2022-04-26T19:16:55.234Z,"14 km W of Andijon, Uzbekistan",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1942-02-13T06:19:00.980Z,-20.117,-174.462,15,6.23,mw,,,,,iscgem,iscgem900196,2022-04-26T19:16:53.951Z,"35 km SSW of Pangai, Tonga",earthquake,,14.7,0.33,,reviewed,iscgem,iscgem
1942-02-05T01:15:56.180Z,38.672,27.77,15,5.47,mw,,,,,iscgem,iscgem900189,2022-04-26T19:16:52.624Z,"13 km WSW of Gölmarmara, Turkey",earthquake,,5.3,0.35,,reviewed,iscgem,iscgem
1942-02-02T17:05:30.170Z,36.288,28.096,15,5.67,mw,,,,,iscgem,iscgem900186,2022-04-26T19:16:47.502Z,"5 km W of Afántou, Greece",earthquake,,34.5,0.22,,reviewed,iscgem,iscgem
1942-02-01T15:18:28.790Z,34.4188333,-116.8128333,6,4.6,ml,8,206,0.6304,0.3,ci,ci3365890,2018-06-04T20:43:44.000Z,"14km E of Lucerne Valley, CA",earthquake,1.32,31.61,0.168,13,reviewed,ci,ci
1942-01-31T17:30:39.750Z,22.247,101.348,35,6.36,mw,,,,,iscgem,iscgem900180,2022-04-26T19:16:46.318Z,"69 km ENE of Jinghong, China",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1942-01-30T12:12:09.530Z,5.879,95.349,15,6.64,mw,,,,,iscgem,iscgem900178,2022-04-26T19:16:41.211Z,"3 km ESE of Sabang, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1942-01-27T13:29:11.220Z,-4.138,135.102,17.5,7.06,mw,,,,,iscgem,iscgem900176,2022-04-26T19:16:37.442Z,"96 km SSW of Nabire, Indonesia",earthquake,,10.2,0.24,,reviewed,iscgem,iscgem
1942-01-23T21:28:29.030Z,10.185,126.306,25,6.05,mw,,,,,iscgem,iscgem900174,2022-04-26T19:16:31.859Z,"34 km ENE of Santa Monica, Philippines",earthquake,,14.5,0.22,,reviewed,iscgem,iscgem
1942-01-18T16:36:33.760Z,40.952,71.359,15,6.06,mw,,,,,iscgem,iscgem900172,2022-04-26T19:16:25.960Z,"11 km ESE of Chust, Uzbekistan",earthquake,,11.2,0.2,,reviewed,iscgem,iscgem
1942-01-08T13:31:22.540Z,39.426,72.942,15,5.67,mw,,,,,iscgem,iscgem900163,2022-04-26T19:16:24.459Z,"59 km ESE of Kyzyl-Eshme, Kyrgyzstan",earthquake,,16.8,0.66,,reviewed,iscgem,iscgem
1942-01-07T10:48:00.190Z,-6.11,150.574,25,6.26,mw,,,,,iscgemsup,iscgemsup900162,2022-05-09T16:38:07.043Z,"78 km SE of Kimbe, Papua New Guinea",earthquake,,19.1,0.79,,reviewed,iscgemsup,iscgemsup
1941-12-31T06:48:44.030Z,37.8036667,-118.3781667,6,5.36,ml,5,329,0.7573,0.31,ci,ci3365839,2018-06-04T20:43:44.000Z,"46km N of Dixon Lane-Meadow Creek, CA",earthquake,7.08,31.61,0.094,11,reviewed,ci,ci
1941-12-27T18:17:25.500Z,35.914,-10.557,15,5.84,mw,,,,,iscgem,iscgem901134,2022-04-26T19:32:58.222Z,"188 km SW of Sagres, Portugal",earthquake,,16.1,0.2,,reviewed,iscgem,iscgem
1941-12-26T14:48:05.590Z,22.346,99.813,10,6.92,mw,,,,,iscgem,iscgem901133,2022-04-26T19:32:52.271Z,"80 km N of K?ng Tung, Myanmar",earthquake,,25,0.47,,reviewed,iscgem,iscgem
1941-12-24T14:46:42.510Z,-7.012,147.471,15,6.43,mw,,,,,iscgemsup,iscgemsup901131,2022-05-09T16:47:22.390Z,"61 km ESE of Lae, Papua New Guinea",earthquake,,11.9,0.83,,reviewed,iscgemsup,iscgemsup
1941-12-24T07:30:08.650Z,32.37,-115.962,6,4.59,ml,0,360,2.007,0.126,ci,ci3365838,2018-06-04T20:43:44.000Z,"41km S of Ocotillo, CA",earthquake,,,,10,reviewed,ci,ci
1941-12-16T19:19:43.640Z,23.29,120.419,15,7.22,mw,,,,,iscgem,iscgem901124,2022-04-26T19:32:46.390Z,"18 km NNW of Yujing, Taiwan",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1941-12-13T06:16:02.950Z,36.81,27.947,15,5.96,mw,,,,,iscgem,iscgem901119,2022-04-26T19:32:45.201Z,"23 km NNE of Sými, Greece",earthquake,,5.8,0.2,,reviewed,iscgem,iscgem
1941-12-09T02:43:09.850Z,-3.154,121.035,15,6.04,mw,,,,,iscgem,iscgem901118,2022-04-26T19:32:34.858Z,"94 km E of Palopo, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1941-12-06T21:24:49.340Z,8.531,-84.637,15,6.94,mw,,,,,iscgem,iscgem901109,2022-04-26T19:32:29.472Z,"112 km SSW of Quepos, Costa Rica",earthquake,,25,0.23,,reviewed,iscgem,iscgem
1941-12-06T01:25:06.410Z,10.855,-85.148,15,6.01,mw,,,,,iscgem,iscgem901108,2022-04-26T19:32:24.026Z,"10 km S of San José, Costa Rica",earthquake,,25,0.37,,reviewed,iscgem,iscgem
1941-12-05T20:47:03.200Z,8.329,-83.694,20,7.47,mw,,,,,iscgem,iscgem901107,2022-04-26T19:32:18.253Z,"70 km WSW of Golfito, Costa Rica",earthquake,,9.8,0.26,,reviewed,iscgem,iscgem
1941-12-04T14:48:52.960Z,43.831,90.271,15,5.74,mw,,,,,iscgem,iscgem901106,2022-04-26T19:32:16.653Z,"132 km NE of Turpan, China",earthquake,,25,0.34,,reviewed,iscgem,iscgem
1941-12-01T19:56:27.190Z,-54.176,-57.585,15,6.32,mw,,,,,iscgem,iscgem901103,2022-04-26T19:32:15.463Z,"Falkland Islands region",earthquake,,25,0.31,,reviewed,iscgem,iscgem
