time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1914-02-18T18:17:00.000Z,39.5,-119.8,,6,fa,,,,,ushis,ushis556,2018-06-04T20:43:44.000Z,"3 km SSE of Reno, Nevada",earthquake,,,,,reviewed,ushis,sjg
1914-02-10T18:31:00.000Z,44.98,-76.92,,5.2,fa,,,,,ushis,ushis555,2018-06-04T20:43:44.000Z,"53 km W of Perth, Canada",earthquake,,,,,reviewed,ushis,sc
1914-02-07T06:49:41.300Z,43.897,148.485,15,6.24,mw,,,,,iscgem,iscgem913968,2022-04-26T00:06:29.335Z,"142 km E of Shikotan, Russia",earthquake,,19.9,0.33,,reviewed,iscgem,iscgem
1914-02-06T11:42:14.550Z,28.723,64.467,35,5.83,mw,,,,,iscgem,iscgem913967,2022-04-26T00:06:27.535Z,"19 km SSE of Dalbandin, Pakistan",earthquake,,25,0.32,,reviewed,iscgem,iscgem
1914-01-30T07:35:45.040Z,-34.951,-69.989,15,6.53,mw,,,,,iscgemsup,iscgemsup913966,2022-05-09T18:09:16.506Z,"99 km SE of Rengo, Chile",earthquake,,25,0.26,,reviewed,iscgemsup,iscgemsup
1914-01-30T03:36:06.550Z,-34.763,-73.309,15,7.69,mw,,,,,iscgem,iscgem913964,2022-04-26T00:06:25.010Z,"103 km NW of Constitución, Chile",earthquake,,25,0.41,,reviewed,iscgem,iscgem
1914-01-20T12:00:23.210Z,52.47,158.688,35,6.79,mw,,,,,iscgem,iscgem913963,2022-04-26T00:06:23.093Z,"54 km SSE of Vilyuchinsk, Russia",earthquake,,25.9,0.2,,reviewed,iscgem,iscgem
1914-01-12T09:28:12.950Z,31.807,130.686,15,6.8,mw,,,,,iscgem,iscgem913962,2022-04-26T00:06:16.675Z,"8 km NNE of Kajiki, Japan",earthquake,,4.4,0.2,,reviewed,iscgem,iscgem
1913-12-25T06:48:40.830Z,34.832,-35.25,10,5.8,mw,,,,,iscgem,iscgem914109,2022-04-26T00:10:11.229Z,"northern Mid-Atlantic Ridge",earthquake,,9.1,0.2,,reviewed,iscgem,iscgem
1913-12-21T15:37:56.620Z,24.264,102.23,15,6.82,mw,,,,,iscgem,iscgem914108,2022-04-26T00:10:08.745Z,"33 km WSW of Yuxi, China",earthquake,,25,0.33,,reviewed,iscgem,iscgem
1913-12-15T17:43:23.060Z,23.469,122.95,15,6.31,mw,,,,,iscgem,iscgem914106,2022-04-26T00:10:07.141Z,"110 km S of Yonakuni, Japan",earthquake,,8.2,0.2,,reviewed,iscgem,iscgem
1913-11-23T21:18:09.040Z,52.139,159.46,35,6.35,mw,,,,,iscgem,iscgem914105,2022-04-26T00:10:05.192Z,"113 km SE of Vilyuchinsk, Russia",earthquake,,15.9,0.2,,reviewed,iscgem,iscgem
1913-11-19T03:20:25.280Z,-2.39,122.512,35,6.79,mw,,,,,iscgem,iscgem914104,2022-04-26T00:09:59.644Z,"161 km S of Luwuk, Indonesia",earthquake,,25,0.64,,reviewed,iscgem,iscgem
1913-11-15T05:26:45.520Z,-23.586,171.945,35,6.36,mw,,,,,iscgem,iscgem16958249,2022-04-25T20:34:32.604Z,"southeast of the Loyalty Islands",earthquake,,25,0.26,,reviewed,iscgem,iscgem
1913-11-10T21:12:28.460Z,-17.007,168.02,15,6.85,mw,,,,,iscgem,iscgem914102,2022-04-26T00:09:58.051Z,"86 km NNW of Port-Vila, Vanuatu",earthquake,,14,0.35,,reviewed,iscgem,iscgem
1913-10-29T04:32:11.600Z,0.089,97.208,25,6.21,mw,,,,,iscgem,iscgem914101,2022-04-26T00:09:56.771Z,"251 km SSW of Singkil, Indonesia",earthquake,,5.7,0.27,,reviewed,iscgem,iscgem
1913-10-23T15:00:10.670Z,10.065,-86.625,15,6.15,mw,,,,,iscgemsup,iscgemsup914100,2022-05-09T18:09:34.325Z,"115 km W of Santa Cruz, Costa Rica",earthquake,,11.8,0.32,,reviewed,iscgemsup,iscgemsup
1913-10-12T17:03:48.630Z,39.408,143.344,15,6.44,mw,,,,,iscgem,iscgem914098,2022-04-26T00:09:55.423Z,"120 km E of Yamada, Japan",earthquake,,12.9,0.25,,reviewed,iscgem,iscgem
1913-10-11T09:09:56.760Z,39.854,143.255,15,6.97,mw,,,,,iscgem,iscgem914097,2022-04-26T00:09:54.086Z,"114 km E of Miyako, Japan",earthquake,,14.5,0.21,,reviewed,iscgem,iscgem
1913-10-11T04:06:16.900Z,-6.904,146.249,15,6.97,mw,,,,,iscgem,iscgem914096,2022-04-26T00:09:52.720Z,"54 km NW of Bulolo, Papua New Guinea",earthquake,,7.4,0.2,,reviewed,iscgem,iscgem
1913-10-11T01:34:24.750Z,-6.763,147.381,35,6.76,mw,,,,,iscgem,iscgem914095,2022-04-25T21:14:55.683Z,"42 km E of Lae, Papua New Guinea",earthquake,,11.9,0.2,,reviewed,iscgem,iscgem
1913-10-04T18:26:01.930Z,41.61,14.588,15,5.44,mw,,,,,iscgem,iscgem610326393,2022-04-25T20:38:19.856Z,"2 km ESE of Castropignano, Italy",earthquake,,8,0.2,,reviewed,iscgem,iscgem
1913-10-02T04:23:37.120Z,7.575,-79.838,15,6.63,mw,,,,,iscgem,iscgem914094,2022-04-26T00:09:51.347Z,"21 km ENE of Pedasí, Panama",earthquake,,3.6,0.26,,reviewed,iscgem,iscgem
1913-09-30T07:33:47.620Z,34.625,24.207,15,5.82,mw,,,,,iscgem,iscgem914093,2022-04-26T00:09:49.976Z,"25 km SSE of Kastrí, Greece",earthquake,,12.6,0.2,,reviewed,iscgem,iscgem
1913-09-16T11:56:31.420Z,4.423,35.981,10,6.06,mw,,,,,iscgem,iscgem914092,2022-04-26T00:09:48.565Z,"47 km SSW of Lobuni, Ethiopia",earthquake,,25,0.46,,reviewed,iscgem,iscgem
1913-09-03T20:51:27.670Z,-5.31,153.489,35,6.82,mw,,,,,iscgem,iscgem914091,2022-04-26T00:09:46.999Z,"172 km SE of Kokopo, Papua New Guinea",earthquake,,13.7,0.37,,reviewed,iscgem,iscgem
1913-08-15T19:03:09.300Z,26.843,142.612,35,6.38,mw,,,,,iscgem,iscgem914090,2022-04-26T00:09:45.284Z,"Bonin Islands, Japan region",earthquake,,11.5,0.23,,reviewed,iscgem,iscgem
1913-08-13T04:25:42.330Z,-6.746,105.213,35,6.63,mw,,,,,iscgem,iscgem914089,2022-04-26T00:09:43.553Z,"79 km WSW of Labuan, Indonesia",earthquake,,30.2,0.23,,reviewed,iscgem,iscgem
1913-08-06T22:14:36.950Z,-16.534,-73.738,25,7.73,mw,,,,,iscgem,iscgem914088,2022-04-26T00:09:38.063Z,"37 km SSW of Atico, Peru",earthquake,,13.3,0.25,,reviewed,iscgem,iscgem
1913-08-01T17:11:03.940Z,48.108,156.059,15,7.03,mw,,,,,iscgem,iscgem914087,2022-04-26T00:09:36.723Z,"285 km S of Severo-Kuril’sk, Russia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1913-07-28T05:39:19.870Z,-17.167,-74.984,15,6.74,mw,,,,,iscgem,iscgem914086,2022-04-26T00:09:35.078Z,"165 km SSW of Atiquipa, Peru",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1913-07-26T20:51:14.600Z,66.974,-17.676,15,5.94,mw,,,,,iscgem,iscgem914085,2022-04-26T00:09:33.407Z,"105 km N of Norðurþing, Iceland",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1913-07-25T12:38:08.890Z,12.471,-80.815,15,6.15,mw,,,,,iscgem,iscgem914084,2022-04-26T00:09:31.869Z,"97 km E of San Andrés, Colombia",earthquake,,25,0.26,,reviewed,iscgem,iscgem
1913-07-22T06:34:33.250Z,-5.179,151.682,35,6.51,mw,,,,,iscgem,iscgem914083,2022-04-26T00:09:30.379Z,"113 km SW of Kokopo, Papua New Guinea",earthquake,,37.1,0.2,,reviewed,iscgem,iscgem
