time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1938-02-22T06:04:36.860Z,-8.37,156.785,15,6.2,mw,,,,,iscgem,iscgem902383,2022-04-25T20:53:00.176Z,"30 km SSW of Gizo, Solomon Islands",earthquake,,5.3,0.36,,reviewed,iscgem,iscgem
1938-02-21T13:49:11.550Z,50.727,97.094,15,5.81,mw,,,,,iscgem,iscgem902381,2022-04-25T20:52:59.014Z,"33 km WNW of Kungurtug, Russia",earthquake,,7.2,0.29,,reviewed,iscgem,iscgem
1938-02-15T06:57:15.560Z,19.285,-26.232,15,5.79,mw,,,,,iscgem,iscgem902380,2022-04-25T20:52:57.863Z,"260 km NNW of Ponta do Sol, Cabo Verde",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1938-02-15T03:27:47.240Z,19.234,-26.17,15,6.04,mw,,,,,iscgem,iscgem902379,2022-04-25T20:25:41.951Z,"252 km NNW of Ponta do Sol, Cabo Verde",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1938-02-14T02:54:13.760Z,40.517,53.803,15,6.17,mw,,,,,iscgem,iscgem902376,2022-04-25T20:52:56.736Z,"90 km NE of Türkmenba?y, Turkmenistan",earthquake,,25,0.22,,reviewed,iscgem,iscgem
1938-02-13T08:03:56.940Z,-35.932,179.468,35,6.64,mw,,,,,iscgem,iscgem902374,2022-04-25T20:52:55.644Z,"off the east coast of the North Island of New Zealand",earthquake,,63,0.2,,reviewed,iscgem,iscgem
1938-02-12T20:00:14.000Z,37,-122,,4.5,ml,,,,,ushis,ushis1190,2018-06-04T20:43:44.000Z,"2 km ESE of Pasatiempo, California",earthquake,,,,,reviewed,ushis,brk
1938-02-11T14:39:27.060Z,17.959,119.517,15,5.82,mw,,,,,iscgem,iscgem902373,2022-04-25T20:52:54.399Z,"94 km WNW of Puro Pinget, Philippines",earthquake,,4.1,0.2,,reviewed,iscgem,iscgem
1938-02-11T06:56:28.640Z,42.854,147.592,15,6.02,mw,,,,,iscgem,iscgem902372,2022-04-25T20:52:53.187Z,"126 km SSE of Shikotan, Russia",earthquake,,12.6,0.27,,reviewed,iscgem,iscgem
1938-02-10T20:37:57.020Z,34.802,26.492,15,5.72,mw,,,,,iscgem,iscgem902371,2022-04-25T20:52:51.905Z,"48 km SSE of Palekastro, Greece",earthquake,,20.7,0.2,,reviewed,iscgem,iscgem
1938-02-08T14:21:28.850Z,-1.527,-81.226,15,6.29,mw,,,,,iscgem,iscgem902368,2022-04-25T20:52:50.821Z,"74 km WSW of Jipijapa, Ecuador",earthquake,,10.3,0.2,,reviewed,iscgem,iscgem
1938-02-08T07:16:14.110Z,-1.402,-80.82,15,6.29,mw,,,,,iscgem,iscgem902365,2022-04-25T20:52:49.546Z,"27 km WSW of Jipijapa, Ecuador",earthquake,,10.3,0.2,,reviewed,iscgem,iscgem
1938-02-07T01:19:07.410Z,-1.657,152.1,15,5.86,mw,,,,,iscgem,iscgem902361,2022-04-25T20:52:48.426Z,"177 km NE of Kavieng, Papua New Guinea",earthquake,,25,0.48,,reviewed,iscgem,iscgem
1938-02-06T07:07:38.030Z,-3.566,150.015,15,5.66,mw,,,,,iscgem,iscgem902359,2022-04-25T20:52:47.303Z,"139 km SW of Kavieng, Papua New Guinea",earthquake,,13.4,0.2,,reviewed,iscgem,iscgem
1938-02-05T09:54:59.380Z,13.203,123.708,15,6.07,mw,,,,,iscgem,iscgem902358,2022-04-25T20:52:45.873Z,"3 km ESE of Anuling, Philippines",earthquake,,10.6,0.63,,reviewed,iscgem,iscgem
1938-02-04T00:19:03.700Z,25.658,64.495,15,5.65,mw,,,,,iscgem,iscgem902355,2022-04-25T20:52:44.710Z,"51 km NNW of Ormara, Pakistan",earthquake,,25,0.35,,reviewed,iscgem,iscgem
1938-02-02T09:37:01.310Z,-1.564,100.661,35,5.65,mw,,,,,iscgem,iscgem902354,2022-04-25T20:52:43.431Z,"76 km SSE of Padang, Indonesia",earthquake,,10.8,0.65,,reviewed,iscgem,iscgem
1938-02-01T19:04:22.000Z,-5.045,131.614,25,8.5,mw,,,,,official,official19380201190422_30,2022-04-25T20:52:42.236Z,"141 km WNW of Tual, Indonesia",earthquake,,,,,automatic,iscgem,official
1938-01-29T04:13:10.790Z,27.603,87.098,15,5.79,mw,,,,,iscgem,iscgem902347,2022-04-25T20:52:40.891Z,"27 km NNW of Kh??db?ri??, Nepal",earthquake,,5.1,0.2,,reviewed,iscgem,iscgem
1938-01-26T03:40:07.060Z,33.227,45.711,15,5.71,mw,,,,,iscgem,iscgem902343,2022-04-25T20:52:35.373Z,"43 km WNW of Mehr?n, Iran",earthquake,,25,0.53,,reviewed,iscgem,iscgem
1938-01-25T16:53:41.520Z,-29.723,-177.812,15,6.47,mw,,,,,iscgem,iscgem902342,2022-04-25T20:52:29.548Z,"Kermadec Islands, New Zealand",earthquake,,26.9,0.37,,reviewed,iscgem,iscgem
1938-01-24T10:31:50.390Z,-60.681,-36.131,10,6.9,mw,,,,,iscgem,iscgem902341,2022-04-25T20:52:24.395Z,"Scotia Sea",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1938-01-23T08:32:49.090Z,20.898,-156.055,10,6.63,mw,,,,,iscgem,iscgem902340,2022-04-25T20:52:18.297Z,"10 km ENE of Wailua, Hawaii",earthquake,,25,0.23,,reviewed,iscgem,iscgem
1938-01-18T04:19:59.680Z,-4.324,102.031,35,6.19,mw,,,,,iscgem,iscgem902335,2022-04-25T20:52:07.183Z,"63 km SSW of Bengkulu, Indonesia",earthquake,,9.5,0.2,,reviewed,iscgem,iscgem
1938-01-16T13:59:38.640Z,-17.415,-176.685,15,6.11,mw,,,,,iscgem,iscgem902333,2022-04-25T20:25:39.365Z,"Fiji region",earthquake,,16.8,0.2,,reviewed,iscgem,iscgem
1938-01-12T01:08:24.310Z,39.322,70.482,15,5.67,mw,,,,,iscgem,iscgem902329,2022-04-25T20:52:05.765Z,"33 km NNE of Rasht, Tajikistan",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1938-01-11T15:12:00.900Z,33.662,135.203,25,6.5,mw,,,,,iscgem,iscgem902328,2022-04-25T20:52:04.414Z,"17 km WSW of Tanabe, Japan",earthquake,,8.2,0.24,,reviewed,iscgem,iscgem
1938-01-10T20:54:25.180Z,29.699,131.539,25,6.1,mw,,,,,iscgem,iscgem902326,2022-04-25T20:52:02.893Z,"113 km ESE of Koshima, Japan",earthquake,,19.6,0.32,,reviewed,iscgem,iscgem
1938-01-10T17:48:41.570Z,50.614,-179.53,25,5.8,mw,,,,,iscgem,iscgem902325,2022-04-25T20:52:01.266Z,"246 km SW of Adak, Alaska",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1938-01-07T18:27:21.080Z,45.836,96.584,15,5.72,mw,,,,,iscgem,iscgem902323,2022-04-25T20:51:59.466Z,"64 km SSE of Altai, Mongolia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1938-01-07T15:26:40.590Z,-3.718,152.32,15,6.47,mw,,,,,iscgem,iscgem902322,2022-04-25T20:51:57.947Z,"56 km NNE of Rabaul, Papua New Guinea",earthquake,,25,0.45,,reviewed,iscgem,iscgem
