time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1910-02-23T07:52:16.080Z,41.878,23.026,10,5.38,mw,,,,,iscgemsup,iscgemsup610326463,2022-05-09T15:21:13.534Z,"7 km W of Simitli, Bulgaria",earthquake,,4.8,0.2,,reviewed,iscgemsup,iscgemsup
1910-02-18T05:09:12.690Z,35.809,23.992,60,5.85,mw,,,,,iscgem,iscgem16958073,2022-04-25T20:31:06.919Z,"32 km N of Agía Marína, Greece",earthquake,,28.5,0.2,,reviewed,iscgem,iscgem
1910-02-04T14:00:00.100Z,-17.339,168.308,15,6.9,mw,,,,,iscgemsup,iscgemsup16958071,2022-05-09T15:13:53.508Z,"43 km N of Port-Vila, Vanuatu",earthquake,,34.2,0.2,,reviewed,iscgemsup,iscgemsup
1910-01-30T03:45:48.740Z,-24.311,170.872,25,6.75,mw,,,,,iscgemsup,iscgemsup16958069,2022-05-09T15:13:47.250Z,"southeast of the Loyalty Islands",earthquake,,25,0.4,,reviewed,iscgemsup,iscgemsup
1910-01-23T18:49:23.400Z,11.583,-59.474,10,6.53,mw,,,,,iscgem,iscgem16958068,2022-04-25T20:31:05.598Z,"144 km ENE of Scarborough, Trinidad and Tobago",earthquake,,25,0.22,,reviewed,iscgem,iscgem
1910-01-22T08:48:25.220Z,66.758,-17.413,10,6.98,mw,,,,,iscgem,iscgem16958067,2022-04-25T20:31:00.220Z,"79 km N of Norðurþing, Iceland",earthquake,,25,0.23,,reviewed,iscgem,iscgem
1910-01-08T14:49:24.620Z,34.066,122.011,20,6.59,mw,,,,,iscgem,iscgem16958065,2022-05-09T22:48:33.216Z,"165 km E of Hede, China",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1910-01-01T11:01:58.730Z,17.068,-84.191,15,6.83,mw,,,,,iscgem,iscgem16958064,2022-04-25T20:30:52.818Z,"140 km N of Barra Patuca, Honduras",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1909-12-09T23:28:45.020Z,12.408,144.951,15,7.01,mw,,,,,iscgem,iscgem16958060,2022-04-25T20:30:47.427Z,"98 km SSE of Inarajan Village, Guam",earthquake,,13.9,0.45,,reviewed,iscgem,iscgem
1909-12-09T15:34:08.240Z,-9.986,160.485,35,7.04,mw,,,,,iscgemsup,iscgemsup16958062,2022-05-09T15:13:41.356Z,"84 km SE of Honiara, Solomon Islands",earthquake,,8.3,0.2,,reviewed,iscgemsup,iscgemsup
1909-11-22T15:21:00.000Z,36.7,-121.4,,4.5,ml,,,,,ushis,ushis496,2018-06-04T20:43:44.000Z,"12 km SW of Tres Pinos, California",earthquake,,,,,reviewed,ushis,cdmg
1909-11-21T07:35:59.470Z,24.014,121.735,35,6.81,mw,,,,,iscgem,iscgem16958059,2022-04-25T20:30:41.962Z,"13 km ENE of Hualien City, Taiwan",earthquake,,7.1,0.5,,reviewed,iscgem,iscgem
1909-10-31T10:23:21.770Z,16.643,-100.966,10,7.07,mw,,,,,iscgem,iscgem16958056,2022-04-25T20:30:36.321Z,"66 km SSW of Nuxco, Mexico",earthquake,,13.8,0.43,,reviewed,iscgem,iscgem
1909-10-29T16:03:54.350Z,39.007,31.796,15,5.89,mw,,,,,iscgemsup,iscgemsup610326455,2022-05-09T15:21:11.313Z,"22 km NNE of Yunak, Turkey",earthquake,,12.6,0.2,,reviewed,iscgemsup,iscgemsup
1909-10-29T06:45:00.000Z,40.5,-124.2,,6.4,ml,,,,,ushis,ushis495,2018-06-04T20:43:44.000Z,"7 km W of Rio Dell, California",earthquake,,,,,reviewed,ushis,cdmg
1909-10-23T07:10:00.000Z,37,-89.5,,4.5,fa,,,,,ushis,ushis494,2018-06-04T20:43:44.000Z,"2 km ESE of Blodgett, Sandywoods Township, Missouri",earthquake,,,,,reviewed,ushis,bar
1909-10-20T23:41:39.660Z,28.668,67.404,15,7.16,mw,,,,,iscgem,iscgem16958054,2022-04-25T20:30:34.583Z,"58 km SW of Bhag, Pakistan",earthquake,,25,0.46,,reviewed,iscgem,iscgem
1909-10-08T09:59:11.780Z,45.464,16.09,15,5.96,mw,,,,,iscgem,iscgem610326454,2022-04-25T20:38:41.888Z,"7 km ESE of Pokupsko, Croatia",earthquake,,5.3,0.2,,reviewed,iscgem,iscgem
1909-09-27T09:45:00.000Z,39.8,-87.2,,5.1,fa,,,,,ushis,ushis492,2018-06-04T20:43:44.000Z,"4 km NNE of Rockville, Indiana",earthquake,,,,,reviewed,ushis,sc
1909-09-16T19:38:51.640Z,42.113,142.362,35,6.57,mw,,,,,iscgem,iscgem602790116,2022-04-25T20:36:07.839Z,"24 km S of Shizunai-furukawach?, Japan",earthquake,,14.6,0.29,,reviewed,iscgem,iscgem
1909-09-10T18:08:48.730Z,28.984,129.398,15,5.75,mw,,,,,iscgem,iscgem16958053,2022-04-25T20:30:29.233Z,"68 km N of Naze, Japan",earthquake,,12.7,0.2,,reviewed,iscgem,iscgem
1909-09-08T16:49:39.090Z,52.132,-168.354,25,6.52,mw,,,,,iscgem,iscgem16958052,2022-04-25T20:30:24.063Z,"96 km SSE of Nikolski, Alaska",earthquake,,8.4,0.2,,reviewed,iscgem,iscgem
1909-08-29T10:29:19.540Z,26.131,127.89,35,6.24,mw,,,,,iscgem,iscgem610326352,2022-04-25T20:37:39.057Z,"19 km SE of Ginowan, Japan",earthquake,,8.8,0.32,,reviewed,iscgem,iscgem
1909-08-25T00:29:55.900Z,43.316,11.189,15,5.15,mw,,,,,iscgemsup,iscgemsup610326450,2022-05-09T15:21:10.275Z,"5 km NW of Sovicille, Italy",earthquake,,4.4,0.25,,reviewed,iscgemsup,iscgemsup
