time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1920-02-25T17:56:28.480Z,35.266,9.301,15,5.48,mw,,,,,iscgem,iscgem912439,2022-04-25T23:45:52.888Z,"11 km W of Jilma, Tunisia",earthquake,,25,0.29,,reviewed,iscgem,iscgem
1920-02-20T11:44:40.680Z,41.288,45.632,15,6.31,mw,,,,,iscgem,iscgem912437,2022-04-25T23:45:51.463Z,"23 km E of Salo?lu, Azerbaijan",earthquake,,9.8,0.34,,reviewed,iscgem,iscgem
1920-02-20T00:01:48.740Z,41.926,45.617,15,5.97,mw,,,,,iscgem,iscgem912436,2022-04-25T23:45:49.963Z,"5 km NE of Ts’inandali, Georgia",earthquake,,9.4,0.39,,reviewed,iscgem,iscgem
1920-02-10T22:07:18.320Z,18.616,-67.384,15,6.4,mw,,,,,iscgem,iscgem912429,2022-04-25T23:45:48.227Z,"32 km NW of Aguadilla, Puerto Rico",earthquake,,7.4,0.3,,reviewed,iscgem,iscgem
1920-02-08T05:24:28.740Z,-35.809,109.537,15,6.38,mw,,,,,iscgemsup,iscgemsup912424,2022-05-09T17:59:12.896Z,"southwest of Australia",earthquake,,25,0.2,,reviewed,iscgemsup,iscgemsup
1920-02-07T11:50:42.860Z,57.496,-32.97,10,5.95,mw,,,,,iscgem,iscgem912421,2022-04-25T23:45:46.724Z,"Reykjanes Ridge",earthquake,,4.4,0.37,,reviewed,iscgem,iscgem
1920-02-02T11:22:24.360Z,-4.967,152.017,35,7.81,mw,,,,,iscgem,iscgem912419,2022-04-25T23:45:45.085Z,"74 km SSW of Kokopo, Papua New Guinea",earthquake,,31,0.65,,reviewed,iscgem,iscgem
1920-01-30T18:26:47.290Z,3.156,-77.469,35,6.35,mw,,,,,iscgem,iscgem912416,2022-04-25T23:45:43.540Z,"47 km NNE of Timbiquí, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1920-01-24T07:09:16.000Z,48.8,-123,,5.5,ml,,,,,ushis,ushis657,2018-06-04T20:43:44.000Z,"21 km SSE of Point Roberts, Washington",earthquake,,,,,reviewed,ushis,nqt
1920-01-17T18:48:09.950Z,40.059,138.614,15,5.86,mw,,,,,iscgemsup,iscgemsup912407,2022-05-09T17:59:09.228Z,"116 km W of Tenn?, Japan",earthquake,,14,0.81,,reviewed,iscgemsup,iscgemsup
