time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1922-02-19T21:52:37.840Z,35.074,-35.202,10,5.91,mw,,,,,iscgem,iscgem911827,2022-04-25T23:40:12.405Z,"northern Mid-Atlantic Ridge",earthquake,,9.1,0.36,,reviewed,iscgem,iscgem
1922-02-16T03:14:47.930Z,11.317,-86.073,25,6.41,mw,,,,,iscgem,iscgem911826,2022-05-09T22:48:49.066Z,"19 km SW of Tola, Nicaragua",earthquake,,53.5,0.2,,reviewed,iscgem,iscgem
1922-02-16T02:51:16.140Z,47.856,-28.108,10,5.48,mw,,,,,iscgem,iscgem911825,2022-04-25T23:39:59.533Z,"northern Mid-Atlantic Ridge",earthquake,,25,0.61,,reviewed,iscgem,iscgem
1922-02-15T08:10:20.330Z,-48.452,166.491,15,6.53,mw,,,,,iscgemsup,iscgemsup911824,2022-05-09T17:56:28.657Z,"248 km SW of Bluff, New Zealand",earthquake,,25,0.2,,reviewed,iscgemsup,iscgemsup
1922-02-14T12:45:25.290Z,-14.288,66.845,10,6.42,mw,,,,,iscgem,iscgem911822,2022-04-25T23:39:54.137Z,"Mid-Indian Ridge",earthquake,,25,0.27,,reviewed,iscgem,iscgem
1922-01-31T13:17:31.440Z,41.189,-125.608,15,7.41,mw,,,,,iscgem,iscgem911811,2022-04-25T23:39:52.742Z,"123 km W of Big Lagoon, California",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1922-01-26T09:31:20.000Z,41,-126,,6,ms,,,,,ushis,ushis673,2018-06-04T20:43:44.000Z,"153 km WNW of Indianola, California",earthquake,,,,,reviewed,ushis,gr
1922-01-22T03:23:48.370Z,-19.193,-175.173,15,6.61,mw,,,,,iscgem,iscgem911804,2022-04-25T23:39:47.567Z,"110 km NW of Pangai, Tonga",earthquake,,28.9,0.2,,reviewed,iscgem,iscgem
1922-01-19T21:58:58.510Z,-7.111,143.53,15,6.94,mw,,,,,iscgem,iscgem911802,2022-04-25T23:39:42.443Z,"105 km SSW of Ialibu, Papua New Guinea",earthquake,,25,0.36,,reviewed,iscgem,iscgem
1922-01-17T03:50:28.100Z,-2.853,-71.438,475,7.9,mw,,,,,iscgem,iscgem911801,2022-04-25T23:39:41.293Z,"143 km ESE of San Antonio del Estrecho, Peru",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1922-01-09T05:09:39.260Z,23.811,-45.854,10,6.85,mw,,,,,iscgem,iscgem911798,2022-04-25T23:39:40.116Z,"northern Mid-Atlantic Ridge",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1922-01-06T14:11:07.650Z,-17.536,-72.639,15,6.76,mw,,,,,iscgem,iscgem911793,2022-04-25T23:39:38.946Z,"82 km SW of Islay (Matarani), Peru",earthquake,,9.9,0.29,,reviewed,iscgem,iscgem
1922-01-01T19:46:39.430Z,-15.558,-178.326,15,6.66,mw,,,,,iscgem,iscgem911791,2022-04-25T23:39:37.832Z,"139 km S of Alo, Wallis and Futuna",earthquake,,25,0.21,,reviewed,iscgem,iscgem
1921-12-18T15:29:27.130Z,-3.918,-71.52,540,7.3,mw,,,,,iscgem,iscgem912389,2022-04-25T21:14:30.026Z,"130 km W of Puerto Nariño, Colombia",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1921-12-08T12:31:31.630Z,35.843,140.294,60,6.43,mw,,,,,iscgem,iscgem912384,2022-04-25T23:45:32.985Z,"6 km NNW of Narita, Japan",earthquake,,24,0.3,,reviewed,iscgem,iscgem
1921-12-01T10:49:42.200Z,31.082,119.711,15,6.62,mw,,,,,iscgem,iscgem912378,2022-04-25T23:45:27.581Z,"20 km WNW of Zhicheng, China",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-11-29T22:46:12.100Z,-17.732,-172.859,15,6.2,mw,,,,,iscgem,iscgem912377,2022-04-25T23:45:25.797Z,"156 km NE of Neiafu, Tonga",earthquake,,9.5,0.2,,reviewed,iscgem,iscgem
1921-11-15T20:36:43.370Z,36.236,70.674,240,7.8,mw,,,,,iscgem,iscgem912367,2022-04-25T23:45:24.244Z,"71 km SSW of Jurm, Afghanistan",earthquake,,21.7,0.4,,reviewed,iscgem,iscgem
1921-11-13T08:40:57.950Z,11.829,-71.459,15,6.35,mw,,,,,iscgem,iscgem912363,2022-04-25T23:45:18.809Z,"88 km E of Uribia, Colombia",earthquake,,42.7,0.39,,reviewed,iscgem,iscgem
1921-11-11T18:36:18.340Z,7.452,127.151,15,7.44,mw,,,,,iscgem,iscgem912362,2022-04-25T23:45:17.286Z,"62 km E of Baculin, Philippines",earthquake,,16.3,0.21,,reviewed,iscgem,iscgem
1921-11-07T15:59:53.220Z,7.145,126.849,35,6.81,mw,,,,,iscgem,iscgem912359,2022-04-25T23:45:15.197Z,"34 km ESE of Santiago, Philippines",earthquake,,13.8,0.48,,reviewed,iscgem,iscgem
1921-10-25T15:45:34.380Z,6.871,-82.484,15,6.01,mw,,,,,iscgem,iscgem912352,2022-04-25T23:45:08.855Z,"135 km SSE of Burica, Panama",earthquake,,12.2,0.22,,reviewed,iscgem,iscgem
1921-10-21T02:06:12.700Z,40.211,21.481,15,5.36,mw,,,,,iscgemsup,iscgemsup912346,2022-05-09T17:58:56.724Z,"7 km SW of Siátista, Greece",earthquake,,6.2,0.2,,reviewed,iscgemsup,iscgemsup
1921-10-15T04:58:18.150Z,-12.724,166.945,35,7.02,mw,,,,,iscgem,iscgem912341,2022-04-25T21:14:28.480Z,"143 km NNW of Sola, Vanuatu",earthquake,,23,0.47,,reviewed,iscgem,iscgem
1921-10-14T16:43:55.180Z,30.579,90.377,15,6.15,mw,,,,,iscgem,iscgem912340,2022-04-25T23:45:07.884Z,"75 km NNW of Dêqên, China",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-10-12T07:52:02.690Z,45.625,149.463,15,6.17,mw,,,,,iscgem,iscgem912339,2022-04-25T23:45:06.249Z,"131 km ENE of Kuril’sk, Russia",earthquake,,37.8,0.43,,reviewed,iscgem,iscgem
1921-10-10T02:06:08.700Z,-3.048,138.69,35,6.76,mw,,,,,iscgem,iscgem912337,2022-04-25T23:45:04.014Z,"221 km WSW of Abepura, Indonesia",earthquake,,23.1,0.2,,reviewed,iscgem,iscgem
1921-09-29T14:12:00.000Z,38.7,-112.1,,5.2,uk,,,,,ushis,ushis669,2018-06-04T20:43:44.000Z,"0 km SSW of Central Valley, Utah",earthquake,,,,,reviewed,ushis,pas
1921-09-29T13:09:25.600Z,48.628,154.409,70,6.13,mw,,,,,iscgem,iscgem912328,2022-04-25T23:44:58.416Z,"259 km SSW of Severo-Kuril’sk, Russia",earthquake,,12.8,0.2,,reviewed,iscgem,iscgem
1921-09-27T16:21:11.570Z,40.55,142.89,35,6.31,mw,,,,,iscgem,iscgem912326,2022-04-25T23:44:57.284Z,"117 km E of Hachinohe, Japan",earthquake,,12.4,0.45,,reviewed,iscgem,iscgem
1921-09-26T09:26:04.670Z,38.956,33.046,15,6.01,mw,,,,,iscgem,iscgem912324,2022-04-25T21:14:26.665Z,"15 km S of Kulu, Turkey",earthquake,,6.7,0.2,,reviewed,iscgem,iscgem
1921-09-21T11:01:43.690Z,15.886,40.382,15,5.92,mw,,,,,iscgem,iscgem912321,2022-04-25T23:44:56.239Z,"101 km ENE of Massawa, Eritrea",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-09-19T23:16:46.410Z,-17.405,176.871,15,6.56,mw,,,,,iscgem,iscgem912318,2022-04-25T23:44:50.848Z,"65 km WNW of Lautoka, Fiji",earthquake,,25,0.45,,reviewed,iscgem,iscgem
1921-09-14T03:27:37.860Z,38.13,20.907,15,5.6,mw,,,,,iscgem,iscgem912315,2022-04-25T23:44:45.524Z,"12 km ESE of Póros, Greece",earthquake,,9.1,0.46,,reviewed,iscgem,iscgem
1921-09-13T08:59:53.810Z,38.773,20.851,15,5.89,mw,,,,,iscgem,iscgem912314,2022-04-25T23:44:39.705Z,"2 km WSW of Pálairos, Greece",earthquake,,8.6,0.2,,reviewed,iscgem,iscgem
1921-09-13T02:37:00.430Z,-55.623,-28.664,35,6.91,mw,,,,,iscgem,iscgem912313,2022-04-25T23:44:38.055Z,"South Sandwich Islands region",earthquake,,18.7,0.3,,reviewed,iscgem,iscgem
1921-09-11T04:01:45.060Z,-10.046,110.653,15,7.58,mw,,,,,iscgem,iscgem912309,2022-04-25T23:44:36.636Z,"233 km S of Pundong, Indonesia",earthquake,,25,0.35,,reviewed,iscgem,iscgem
1921-09-03T08:57:57.550Z,32.731,142.615,15,6.26,mw,,,,,iscgem,iscgem912303,2022-04-25T23:44:31.506Z,"Izu Islands, Japan region",earthquake,,33,0.25,,reviewed,iscgem,iscgem
1921-08-23T20:17:27.490Z,67.011,-19.416,10,6.38,mw,,,,,iscgem,iscgem912299,2022-04-25T23:44:25.502Z,"98 km NNW of Siglufjörður, Iceland",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-08-23T05:11:55.220Z,58.188,-34.264,10,5.53,mw,,,,,iscgem,iscgem912298,2022-04-25T23:44:14.529Z,"Reykjanes Ridge",earthquake,,25,0.22,,reviewed,iscgem,iscgem
1921-08-22T04:05:06.260Z,35.816,139.589,35,6.03,mw,,,,,iscgem,iscgem912297,2022-04-25T23:44:08.005Z,"1 km NW of Asaka, Japan",earthquake,,38.1,0.2,,reviewed,iscgem,iscgem
1921-08-14T13:15:28.130Z,15.161,40.904,15,6.08,mw,,,,,iscgem,iscgem912292,2022-04-25T23:44:02.227Z,"160 km NNW of Edd, Eritrea",earthquake,,25,0.29,,reviewed,iscgem,iscgem
1921-08-10T14:10:29.660Z,41.706,22.782,15,5.94,mw,,,,,iscgem,iscgem912289,2022-04-25T23:44:01.231Z,"1 km WSW of Vladimirovo, North Macedonia",earthquake,,4.2,0.2,,reviewed,iscgem,iscgem
1921-08-09T10:38:10.640Z,43.333,145.712,35,5.98,mw,,,,,iscgem,iscgem912288,2022-04-25T23:43:57.147Z,"11 km E of Nemuro, Japan",earthquake,,35.3,0.2,,reviewed,iscgem,iscgem
1921-07-04T14:18:16.610Z,29.004,129.781,35,6.24,mw,,,,,iscgem,iscgem912269,2022-04-25T23:43:55.912Z,"76 km NNE of Naze, Japan",earthquake,,17.7,0.38,,reviewed,iscgem,iscgem
1921-07-03T14:52:57.430Z,29.247,130.086,15,6.03,mw,,,,,iscgem,iscgem912268,2022-04-25T23:43:54.715Z,"113 km NNE of Naze, Japan",earthquake,,17.7,0.24,,reviewed,iscgem,iscgem
1921-06-30T02:10:12.400Z,58.325,-34.455,10,5.73,mw,,,,,iscgem,iscgem912266,2022-04-25T23:43:53.533Z,"Reykjanes Ridge",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-06-29T11:37:59.220Z,43.095,44.279,15,5.92,mw,,,,,iscgem,iscgem912265,2022-04-25T23:43:52.470Z,"7 km NE of Alagir, Russia",earthquake,,6.6,0.39,,reviewed,iscgem,iscgem
1921-06-28T13:58:43.470Z,-39.685,176.831,25,6.7,mw,,,,,iscgem,iscgem912264,2022-04-25T23:43:51.351Z,"5 km SSW of Hastings, New Zealand",earthquake,,10.2,0.3,,reviewed,iscgem,iscgem
1921-06-26T03:40:43.390Z,39.371,21.637,15,5.59,mw,,,,,iscgem,iscgem912263,2022-04-25T23:43:50.193Z,"6 km SSW of Mouzáki, Greece",earthquake,,6.5,0.2,,reviewed,iscgem,iscgem
1921-06-23T18:21:34.900Z,29.006,128.094,15,6.19,mw,,,,,iscgem,iscgem912260,2022-04-25T23:43:48.968Z,"153 km WNW of Naze, Japan",earthquake,,26.3,0.62,,reviewed,iscgem,iscgem
1921-05-21T22:26:01.300Z,48.807,155.588,35,6.52,mw,,,,,iscgem,iscgem912238,2022-04-25T23:43:47.860Z,"211 km S of Severo-Kuril’sk, Russia",earthquake,,10.8,0.22,,reviewed,iscgem,iscgem
1921-05-21T08:42:12.610Z,12.67,125.635,35,6.5,mw,,,,,iscgem,iscgem912236,2022-04-25T23:43:46.650Z,"44 km ENE of Anito, Philippines",earthquake,,11.1,0.43,,reviewed,iscgem,iscgem
1921-05-17T23:27:08.060Z,28.362,130.877,15,6.27,mw,,,,,iscgem,iscgem912232,2022-04-25T23:43:45.479Z,"136 km E of Naze, Japan",earthquake,,16.2,0.2,,reviewed,iscgem,iscgem
1921-05-14T22:09:36.280Z,19.634,-104.777,35,5.88,mw,,,,,iscgem,iscgem912229,2022-04-25T23:43:44.359Z,"20 km WSW of Purificación, Mexico",earthquake,,7.5,0.2,,reviewed,iscgem,iscgem
1921-05-14T20:18:12.400Z,-29.794,-175.974,15,6.3,mw,,,,,iscgem,iscgem912228,2022-04-25T23:43:43.183Z,"Kermadec Islands region",earthquake,,25,0.27,,reviewed,iscgem,iscgem
1921-05-14T11:17:55.440Z,0.677,118.938,35,6.52,mw,,,,,iscgem,iscgem912226,2022-04-25T23:43:42.022Z,"172 km ENE of Bontang, Indonesia",earthquake,,25,0.32,,reviewed,iscgem,iscgem
1921-05-12T03:40:22.150Z,-5.791,154.11,35,6.4,mw,,,,,iscgem,iscgem912221,2022-04-25T23:43:40.791Z,"162 km WNW of Panguna, Papua New Guinea",earthquake,,19.2,0.2,,reviewed,iscgem,iscgem
1921-05-10T04:56:10.620Z,39.509,21.069,15,5.38,mw,,,,,iscgemsup,iscgemsup912220,2022-05-09T17:58:28.864Z,"3 km WSW of Prámanta, Greece",earthquake,,8.6,0.38,,reviewed,iscgemsup,iscgemsup
1921-05-04T17:35:38.340Z,48.471,17.661,15,5.22,mw,,,,,iscgemsup,iscgemsup912218,2022-05-09T17:58:23.745Z,"8 km WNW of Leopoldov, Slovakia",earthquake,,4.1,0.2,,reviewed,iscgemsup,iscgemsup
1921-05-01T05:39:10.500Z,18.637,-104.178,15,6.56,mw,,,,,iscgem,iscgem912214,2022-04-25T23:43:39.371Z,"33 km SSW of Cuyutlán, Mexico",earthquake,,17.8,0.33,,reviewed,iscgem,iscgem
1921-04-25T17:33:30.350Z,-18.899,177.554,15,6.5,mw,,,,,iscgem,iscgem912212,2022-04-25T23:43:38.283Z,"122 km S of Nadi, Fiji",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-04-22T16:03:57.190Z,42.978,-16.493,10,5.5,mw,,,,,iscgem,iscgem912210,2022-04-25T23:43:37.148Z,"North Atlantic Ocean",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-04-22T06:21:40.230Z,-30.575,-177.859,35,6.12,mw,,,,,iscgem,iscgem912209,2022-04-25T23:43:35.788Z,"Kermadec Islands, New Zealand",earthquake,,13.5,0.2,,reviewed,iscgem,iscgem
1921-04-20T18:46:25.380Z,29.159,-44.375,10,5.74,mw,,,,,iscgem,iscgem912208,2022-04-25T21:14:21.335Z,"northern Mid-Atlantic Ridge",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-04-20T16:04:27.690Z,35.2,32.997,15,5.51,mw,,,,,iscgem,iscgem912207,2022-04-25T23:43:29.988Z,"0 km ENE of Mórfou, Cyprus",earthquake,,7.2,0.2,,reviewed,iscgem,iscgem
1921-04-12T09:36:04.310Z,36.826,100.953,15,6.21,mw,,,,,iscgem,iscgem912203,2022-04-25T23:43:28.855Z,"75 km WNW of Xining, China",earthquake,,25,0.41,,reviewed,iscgem,iscgem
1921-04-10T13:40:15.320Z,52.619,-133.901,15,6.19,mw,,,,,iscgem,iscgem912201,2022-04-25T23:43:27.673Z,"296 km SSW of Hydaburg, Alaska",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-04-02T09:36:52.630Z,23.879,124.821,15,6.95,mw,,,,,iscgem,iscgem912199,2022-04-25T23:43:26.566Z,"84 km SE of Ishigaki, Japan",earthquake,,8.2,0.42,,reviewed,iscgem,iscgem
1921-04-01T12:00:43.750Z,-11.656,164.797,35,6.47,mw,,,,,iscgem,iscgem912198,2022-04-25T23:43:25.423Z,"150 km SW of Lata, Solomon Islands",earthquake,,4.7,0.24,,reviewed,iscgem,iscgem
1921-04-01T04:06:44.730Z,1.795,98.164,35,6.71,mw,,,,,iscgem,iscgem912197,2022-04-25T23:43:24.174Z,"68 km SE of Singkil, Indonesia",earthquake,,7.8,0.2,,reviewed,iscgem,iscgem
1921-03-30T15:06:00.600Z,41.798,21.141,15,5.98,mw,,,,,iscgem,iscgem912196,2022-04-25T21:14:19.978Z,"6 km SSE of Gurgurnica, North Macedonia",earthquake,,6,0.32,,reviewed,iscgem,iscgem
1921-03-30T10:26:31.280Z,22.384,90.659,15,6.4,mw,,,,,iscgem,iscgem912194,2022-04-25T23:43:22.755Z,"9 km WNW of L?lmohan, Bangladesh",earthquake,,25,0.35,,reviewed,iscgem,iscgem
1921-03-29T22:11:50.540Z,45.6,151.946,35,6.27,mw,,,,,iscgem,iscgem912193,2022-04-25T23:43:21.337Z,"Kuril Islands",earthquake,,13.5,0.2,,reviewed,iscgem,iscgem
1921-03-28T07:49:28.780Z,12.61,-87.216,65,7.2,mw,,,,,iscgem,iscgem912192,2022-04-25T23:43:15.890Z,"7 km SW of El Viejo, Nicaragua",earthquake,,50.3,0.34,,reviewed,iscgem,iscgem
1921-03-24T14:41:54.830Z,51.4,158.207,25,6.88,mw,,,,,iscgem,iscgem912190,2022-05-09T22:48:48.200Z,"119 km E of Ozernovskiy, Russia",earthquake,,21.2,0.6,,reviewed,iscgem,iscgem
1921-03-23T22:44:14.940Z,-5.771,129.905,15,6.51,mw,,,,,iscgem,iscgem912187,2022-04-25T23:43:04.525Z,"290 km SSE of Amahai, Indonesia",earthquake,,36.9,0.2,,reviewed,iscgem,iscgem
1921-03-06T07:25:13.080Z,26.497,-109.958,15,6.26,mw,,,,,iscgem,iscgem912178,2022-04-25T23:43:03.382Z,"40 km SW of Etchoropo, Mexico",earthquake,,25,0.41,,reviewed,iscgem,iscgem
1921-03-05T06:24:18.740Z,7.401,93.638,20,6.58,mw,,,,,iscgem,iscgem912177,2022-04-25T23:43:02.204Z,"249 km NW of Sabang, Indonesia",earthquake,,24.2,0.59,,reviewed,iscgem,iscgem
1921-03-03T08:20:17.430Z,-6.464,102.994,15,6.49,mw,,,,,iscgem,iscgem912175,2022-04-25T23:43:00.805Z,"271 km S of Pagar Alam, Indonesia",earthquake,,5.6,0.22,,reviewed,iscgem,iscgem
1921-03-03T03:02:26.350Z,41.495,139.624,15,6.61,mw,,,,,iscgem,iscgem912174,2022-04-25T23:42:59.627Z,"92 km WSW of Kamiiso, Japan",earthquake,,4.8,0.28,,reviewed,iscgem,iscgem
1921-02-27T18:23:37.070Z,-18.904,-173.037,15,7.39,mw,,,,,iscgem,iscgem912172,2022-04-25T23:42:58.421Z,"103 km ESE of Neiafu, Tonga",earthquake,,13.8,0.21,,reviewed,iscgem,iscgem
1921-02-19T18:14:43.800Z,-2.077,139.103,25,6.75,mw,,,,,iscgem,iscgem912167,2022-04-25T23:42:57.242Z,"179 km WNW of Abepura, Indonesia",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem
1921-02-19T14:33:48.770Z,-0.853,133.85,15,6.35,mw,,,,,iscgem,iscgem912166,2022-04-25T23:42:56.048Z,"23 km W of Manokwari, Indonesia",earthquake,,4.6,0.2,,reviewed,iscgem,iscgem
1921-02-14T01:00:51.920Z,5.146,128.892,15,6.32,mw,,,,,iscgem,iscgem912164,2022-04-25T23:42:54.899Z,"east of the Philippine Islands",earthquake,,25,0.21,,reviewed,iscgem,iscgem
1921-02-10T23:53:49.800Z,17.792,146.648,15,6.58,mw,,,,,iscgem,iscgem912161,2022-04-25T23:42:53.783Z,"Alamagan region, Northern Mariana Islands",earthquake,,29.6,0.23,,reviewed,iscgem,iscgem
1921-02-06T04:27:54.730Z,50.85,155.64,35,6.36,mw,,,,,iscgem,iscgem912159,2022-04-25T23:42:52.659Z,"39 km WNW of Severo-Kuril’sk, Russia",earthquake,,25,0.28,,reviewed,iscgem,iscgem
1921-02-04T08:22:40.620Z,15.662,-90.791,15,7.11,mw,,,,,iscgem,iscgem912158,2022-04-25T23:42:51.318Z,"32 km NE of Chajul, Guatemala",earthquake,,25,0.5,,reviewed,iscgem,iscgem
1921-01-27T11:30:24.850Z,36.85,27.992,15,5.54,mw,,,,,iscgem,iscgem912156,2022-04-25T23:42:50.179Z,"21 km WNW of ?çmeler, Turkey",earthquake,,5.8,0.2,,reviewed,iscgem,iscgem
1921-01-19T14:57:22.370Z,47.11,153.454,35,6.04,mw,,,,,iscgem,iscgem912150,2022-04-25T23:42:48.984Z,"Kuril Islands",earthquake,,16.9,0.2,,reviewed,iscgem,iscgem
1921-01-09T12:55:07.200Z,-13.386,-74.191,15,6.53,mw,,,,,iscgem,iscgem912145,2022-04-25T23:42:47.769Z,"12 km S of Chiara, Peru",earthquake,,25,0.48,,reviewed,iscgem,iscgem
1921-01-07T09:42:26.700Z,37.622,105.48,15,5.97,mw,,,,,iscgem,iscgem912142,2022-04-25T23:42:46.596Z,"116 km SW of Yinchuan, China",earthquake,,25,0.25,,reviewed,iscgem,iscgem
1921-01-07T02:51:28.380Z,-51.349,140.13,10,6.35,mw,,,,,iscgem,iscgem912141,2022-04-25T23:42:45.480Z,"western Indian-Antarctic Ridge",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-01-02T07:06:35.830Z,44.035,150.379,35,6.35,mw,,,,,iscgem,iscgem912136,2022-04-25T23:42:44.332Z,"238 km SE of Kuril’sk, Russia",earthquake,,18.9,0.2,,reviewed,iscgem,iscgem
1920-12-28T03:16:42.070Z,37.418,105.424,15,6.08,mw,,,,,iscgem,iscgem912697,2022-04-25T23:50:31.666Z,"138 km SSW of Yinchuan, China",earthquake,,25,0.21,,reviewed,iscgem,iscgem
