time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1926-02-18T18:20:45.000Z,34,-119.5,,5.5,uk,,,,,ushis,ushis735,2018-06-04T20:43:44.000Z,"30 km SW of Channel Islands Beach, California",earthquake,,,,,reviewed,ushis,jon
1926-02-15T23:11:44.020Z,24.534,122.487,35,5.78,mw,,,,,iscgem,iscgem909746,2022-04-25T23:13:52.405Z,"52 km W of Yonakuni, Japan",earthquake,,43.3,0.2,,reviewed,iscgem,iscgem
1926-02-15T02:59:50.600Z,12.104,-88.451,15,6.7,mw,,,,,iscgem,iscgem909744,2022-04-25T23:13:50.945Z,"128 km SSW of Chirilagua, El Salvador",earthquake,,18.5,0.21,,reviewed,iscgem,iscgem
1926-02-13T09:08:21.950Z,-22.494,177.079,35,6.35,mw,,,,,iscgem,iscgem909743,2022-04-25T23:13:49.462Z,"south of the Fiji Islands",earthquake,,25,0.49,,reviewed,iscgem,iscgem
1926-02-10T14:48:31.430Z,13.067,-86.254,15,5.71,mw,,,,,iscgemsup,iscgemsup909740,2022-05-09T17:45:42.617Z,"11 km ESE of Estelí, Nicaragua",earthquake,,25,0.2,,reviewed,iscgemsup,iscgemsup
1926-02-08T15:18:01.820Z,12.292,-88.801,20,7.13,mw,,,,,iscgem,iscgem909737,2022-04-25T21:12:39.460Z,"113 km SSW of Puerto El Triunfo, El Salvador",earthquake,,25.6,0.24,,reviewed,iscgem,iscgem
1926-02-07T22:42:03.100Z,50.497,-178.637,35,5.99,mw,,,,,iscgem,iscgem909736,2022-04-25T23:13:44.065Z,"207 km SW of Adak, Alaska",earthquake,,25,0.23,,reviewed,iscgem,iscgem
1926-02-06T08:49:54.370Z,45.227,147.388,15,5.93,mw,,,,,iscgem,iscgem909732,2022-04-25T23:13:38.239Z,"38 km W of Kuril’sk, Russia",earthquake,,25.1,0.2,,reviewed,iscgem,iscgem
1926-02-04T06:44:11.470Z,42.531,139.872,15,6.02,mw,,,,,iscgem,iscgem909731,2022-04-25T23:13:36.853Z,"70 km WSW of Niseko Town, Japan",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1926-02-03T11:52:19.960Z,-21.866,171.366,35,6.08,mw,,,,,iscgem,iscgem909728,2022-04-25T23:13:35.601Z,"southeast of the Loyalty Islands",earthquake,,27.9,0.2,,reviewed,iscgem,iscgem
1926-02-01T01:17:52.590Z,11.186,-62.441,190,5.93,mw,,,,,iscgem,iscgem909727,2022-04-25T23:13:34.322Z,"69 km NNW of Güiria, Venezuela",earthquake,,21,0.4,,reviewed,iscgem,iscgem
