time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1916-02-21T23:39:00.000Z,35.5,-82.5,,5.2,fa,,,,,ushis,ushis587,2018-06-04T20:43:44.000Z,"3 km NNE of Royal Pines, North Carolina",earthquake,,,,,reviewed,ushis,sc
1916-02-20T17:47:51.640Z,52.392,-167.629,35,6.7,mw,,,,,iscgem,iscgem913766,2022-04-26T00:01:58.904Z,"103 km SE of Nikolski, Alaska",earthquake,,6.7,0.29,,reviewed,iscgem,iscgem
1916-02-15T11:35:56.310Z,60.449,-147.258,25,6.42,mw,,,,,iscgem,iscgem913765,2022-04-26T00:01:53.475Z,"56 km SW of Tatitlek, Alaska",earthquake,,8.3,0.32,,reviewed,iscgem,iscgem
1916-02-14T10:01:46.130Z,3.544,126.465,70,6.44,mw,,,,,iscgem,iscgem913764,2022-04-26T00:01:52.279Z,"233 km SSE of Sarangani, Philippines",earthquake,,19.1,0.2,,reviewed,iscgem,iscgem
1916-02-06T21:51:35.740Z,50.785,179.032,15,7.05,mw,,,,,iscgem,iscgem913761,2022-04-26T00:01:51.004Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,10.2,0.33,,reviewed,iscgem,iscgem
1916-02-06T14:39:40.450Z,39.002,23.319,15,5.86,mw,,,,,iscgem,iscgem610326402,2022-04-25T20:38:26.895Z,"15 km ENE of Istiaía, Greece",earthquake,,4.3,0.2,,reviewed,iscgem,iscgem
1916-02-06T10:52:12.620Z,47.628,149.722,15,6.22,mw,,,,,iscgem,iscgem913759,2022-04-26T00:01:44.704Z,"northwest of the Kuril Islands",earthquake,,25,0.25,,reviewed,iscgem,iscgem
1916-02-03T05:03:04.000Z,41,-117.8,,5.9,fa,,,,,ushis,ushis583,2018-06-04T20:43:44.000Z,"6 km WNW of Winnemucca, Nevada",earthquake,,,,,reviewed,ushis,sjg
1916-02-01T07:36:31.910Z,29.51,131.875,15,7.41,mw,,,,,iscgem,iscgem913758,2022-04-26T00:01:39.572Z,"152 km ESE of Koshima, Japan",earthquake,,16.7,0.36,,reviewed,iscgem,iscgem
1916-01-26T07:38:03.810Z,45.861,24.712,15,6.36,mw,,,,,iscgem,iscgem913756,2022-04-26T00:01:38.395Z,"1 km SE of Bruiu, Romania",earthquake,,25,0.31,,reviewed,iscgem,iscgem
1916-01-24T06:55:13.580Z,40.201,37.312,15,7,mw,,,,,iscgem,iscgem913755,2022-04-26T00:01:37.181Z,"18 km W of Do?an?ar, Turkey",earthquake,,3.7,0.31,,reviewed,iscgem,iscgem
1916-01-13T10:51:11.610Z,-1.916,135.968,35,6.41,mw,,,,,iscgem,iscgem913751,2022-04-26T00:01:32.032Z,"82 km S of Biak, Indonesia",earthquake,,25,0.33,,reviewed,iscgem,iscgem
1916-01-13T08:20:47.050Z,-3.076,135.676,25,7.66,mw,,,,,iscgem,iscgem913750,2022-04-26T00:01:30.565Z,"36 km NNE of Nabire, Indonesia",earthquake,,25,0.36,,reviewed,iscgem,iscgem
1916-01-13T06:18:35.180Z,-3.206,135.699,25,7,mw,,,,,iscgem,iscgem913749,2022-04-25T21:14:41.293Z,"27 km NE of Nabire, Indonesia",earthquake,,25,0.23,,reviewed,iscgem,iscgem
1916-01-01T13:20:48.920Z,-4.756,152.626,35,7.96,mw,,,,,iscgem,iscgem913746,2022-04-26T00:01:25.319Z,"60 km SE of Kokopo, Papua New Guinea",earthquake,,15.6,0.38,,reviewed,iscgem,iscgem
