time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1966-02-25T22:50:48.220Z,-15.404,-172.843,20,6.04,mw,,,,,iscgem,iscgem850482,2022-04-26T23:27:23.627Z,"118 km ENE of Hihifo, Tonga",earthquake,,16,0.2,,reviewed,iscgem,iscgem
1966-02-24T00:16:39.280Z,26.281,91.474,22.5,5.19,mw,,,,,iscgem,iscgem850440,2022-04-26T23:27:22.473Z,"6 km NW of H?jo, India",earthquake,,25,0.31,,reviewed,iscgem,iscgem
1966-02-22T05:02:39.590Z,-5.388,151.592,35,6.9,mw,,,,,iscgem,iscgem850390,2022-04-26T23:27:21.306Z,"137 km SSW of Kokopo, Papua New Guinea",earthquake,,14.8,0.4,,reviewed,iscgem,iscgem
1966-02-21T13:18:50.160Z,26.14,125.744,120,5.62,mw,,,,,iscgem,iscgem850367,2022-04-26T23:27:20.101Z,"154 km NNE of Hirara, Japan",earthquake,,34.6,0.27,,reviewed,iscgem,iscgem
1966-02-21T00:22:29.870Z,-55.495,-27.079,15,5.95,mw,,,,,iscgem,iscgem850356,2022-04-26T23:27:18.926Z,"South Sandwich Islands region",earthquake,,11.3,0.27,,reviewed,iscgem,iscgem
1966-02-20T15:25:41.310Z,-9.853,-75.681,15,5.14,mw,,,,,iscgem,iscgem850343,2022-04-26T23:27:17.701Z,"50 km E of Churubamba, Peru",earthquake,,16.2,0.34,,reviewed,iscgem,iscgem
1966-02-18T06:59:04.540Z,6.709,123.842,35,5.94,mw,,,,,iscgem,iscgem850284,2022-04-26T23:27:16.497Z,"21 km W of Taguisa, Philippines",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1966-02-18T03:45:12.760Z,26.06,103.221,10,5.22,mw,,,,,iscgem,iscgem850282,2022-04-26T23:27:15.269Z,"85 km NW of Qujing, China",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1966-02-17T12:42:59.690Z,-32.233,78.999,15,5.71,mw,,,,,iscgem,iscgem850271,2022-04-26T23:27:14.074Z,"Mid-Indian Ridge",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1966-02-17T11:48:00.370Z,-32.265,78.866,15,6.52,mw,,,,,iscgem,iscgem850269,2022-04-26T23:27:12.896Z,"",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1966-02-16T03:18:29.630Z,-17.67,168.021,35,6.6,mw,,,,,iscgem,iscgem850227,2022-04-26T23:27:11.740Z,"31 km WNW of Port-Vila, Vanuatu",earthquake,,4.9,0.3,,reviewed,iscgem,iscgem
1966-02-13T19:09:46.610Z,29.881,69.663,10,5.21,mw,,,,,iscgem,iscgem850160,2022-04-26T23:27:10.445Z,"13 km E of Barkhan, Pakistan",earthquake,,13.9,0.24,,reviewed,iscgem,iscgem
1966-02-13T10:44:40.130Z,26.12,103.222,10,5.91,mw,,,,,iscgem,iscgem850150,2022-04-26T23:27:05.117Z,"90 km NW of Qujing, China",earthquake,,25,0.3,,reviewed,iscgem,iscgem
1966-02-13T06:36:01.150Z,-6.561,132.642,35,5.95,mw,,,,,iscgem,iscgem850145,2022-04-26T23:27:03.983Z,"103 km S of Tual, Indonesia",earthquake,,4.8,0.24,,reviewed,iscgem,iscgem
1966-02-10T14:21:13.790Z,20.711,146.163,45.7,6.5,mw,,,,,iscgem,iscgem850077,2022-04-26T23:27:02.845Z,"Mariana Islands region",earthquake,,5,0.4,,reviewed,iscgem,iscgem
1966-02-10T05:29:15.590Z,31.193,142.001,35,5.83,mw,,,,,iscgem,iscgem850066,2022-04-26T23:27:01.552Z,"Izu Islands, Japan region",earthquake,,15.1,0.2,,reviewed,iscgem,iscgem
1966-02-09T15:13:29.860Z,-15.412,-75.303,41.3,5.55,mw,,,,,iscgem,iscgem850047,2022-04-26T23:27:00.202Z,"15 km WSW of San Juan, Peru",earthquake,,5.1,0.33,,reviewed,iscgem,iscgem
1966-02-09T10:46:56.150Z,-56.628,-25.414,25,5.49,mw,,,,,iscgem,iscgem850044,2022-04-26T23:26:59.132Z,"South Sandwich Islands region",earthquake,,12.4,0.35,,reviewed,iscgem,iscgem
1966-02-09T08:22:17.960Z,29.958,69.834,14.6,5.25,mw,,,,,iscgem,iscgem850039,2022-04-26T23:26:57.074Z,"30 km ENE of Barkhan, Pakistan",earthquake,,3,0.26,,reviewed,iscgem,iscgem
1966-02-09T07:18:50.300Z,-9.851,116.376,45,5.79,mw,,,,,iscgem,iscgem850037,2022-04-26T23:26:54.257Z,"127 km S of Praya, Indonesia",earthquake,,31.9,0.45,,reviewed,iscgem,iscgem
1966-02-09T04:40:32.060Z,-56.79,-25.965,40,6.35,mw,,,,,iscgem,iscgem850033,2022-04-26T23:26:52.968Z,"South Sandwich Islands region",earthquake,,4.9,0.2,,reviewed,iscgem,iscgem
