time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1924-02-24T05:45:10.000Z,44,-127,,5.75,ms,,,,,ushis,ushis703,2018-06-04T20:43:44.000Z,"228 km WNW of Barview, Oregon",earthquake,,,,,reviewed,ushis,gr
1924-02-24T05:45:02.810Z,43.898,-129.762,15,5.86,mw,,,,,iscgem,iscgem910844,2022-04-25T23:29:44.523Z,"off the coast of Oregon",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-02-22T15:32:35.720Z,43.044,-0.324,10,5.46,mw,,,,,iscgem,iscgem910843,2022-04-25T23:29:39.029Z,"9 km ESE of Louvie-Juzon, France",earthquake,,5.4,0.2,,reviewed,iscgem,iscgem
1924-02-19T06:59:56.190Z,39.205,48.741,35,6.01,mw,,,,,iscgem,iscgem910840,2022-04-25T23:29:33.870Z,"15 km NE of Prishibinskoye, Azerbaijan",earthquake,,13.2,0.23,,reviewed,iscgem,iscgem
1924-02-18T17:03:58.680Z,34.588,34.123,15,6.11,mw,,,,,iscgem,iscgem910839,2022-04-25T23:29:28.436Z,"45 km SSE of Ayia Napa, Cyprus",earthquake,,15.2,0.2,,reviewed,iscgem,iscgem
1924-02-16T09:01:10.130Z,39.787,25.599,15,5.62,mw,,,,,iscgem,iscgem910837,2022-04-25T23:29:27.114Z,"40 km W of Bozcaada, Turkey",earthquake,,5.4,0.2,,reviewed,iscgem,iscgem
1924-02-13T22:50:18.830Z,-3.065,121.254,35,6.59,mw,,,,,iscgem,iscgem910833,2022-04-25T21:13:37.467Z,"117 km E of Palopo, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-01-29T01:54:58.960Z,-28.183,-70.715,45,6.8,mw,,,,,iscgem,iscgem910820,2022-04-25T23:29:25.973Z,"43 km N of Vallenar, Chile",earthquake,,12.8,0.4,,reviewed,iscgem,iscgem
1924-01-21T01:52:52.160Z,56.7,145.756,15,5.96,mw,,,,,iscgem,iscgem910808,2022-04-25T23:29:24.769Z,"Sea of Okhotsk",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-01-18T14:56:35.720Z,29.465,56.558,15,5.92,mw,,,,,iscgem,iscgem910805,2022-04-25T23:29:18.886Z,"31 km NW of K?h Sef?d, Iran",earthquake,,25,0.4,,reviewed,iscgem,iscgem
1924-01-14T20:50:20.760Z,35.871,139.441,15,6.96,mw,,,,,iscgem,iscgem910800,2022-04-25T23:29:17.325Z,"3 km NE of Sayama, Japan",earthquake,,38.1,0.46,,reviewed,iscgem,iscgem
1924-01-09T10:22:00.000Z,40.83,-124.17,,4.8,uk,,,,,ushis,ushis702,2018-06-04T20:43:44.000Z,"1 km NE of Samoa, California",earthquake,,,,,reviewed,ushis,jon
1924-01-02T08:55:13.060Z,43.813,12.449,15,5.47,mw,,,,,iscgem,iscgem910791,2022-04-25T23:29:15.918Z,"1 km NNE of Macerata Feltria, Italy",earthquake,,9.4,0.39,,reviewed,iscgem,iscgem
1924-01-01T03:05:00.000Z,36,-90,,4.5,fa,,,,,ushis,ushis700,2018-06-04T20:43:44.000Z,"5 km NNW of Gosnell, Arkansas",earthquake,,,,,reviewed,ushis,sc
1923-12-28T22:24:49.670Z,39.648,69.022,20,6.47,mw,,,,,iscgem,iscgem911786,2022-04-25T23:39:36.687Z,"29 km S of Istaravshan, Tajikistan",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1923-12-27T14:39:02.040Z,36.144,141.72,35,6.35,mw,,,,,iscgem,iscgem911785,2022-04-25T23:39:35.443Z,"92 km ENE of Hasaki, Japan",earthquake,,12.4,0.26,,reviewed,iscgem,iscgem
1923-12-22T09:56:12.090Z,4.56,-73.509,15,6.38,mw,,,,,iscgem,iscgem911781,2022-04-25T21:14:12.034Z,"14 km S of Gachalá, Colombia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1923-12-14T10:31:19.960Z,0.691,-78.19,10,6.26,mw,,,,,iscgem,iscgem911774,2022-04-25T23:39:34.239Z,"28 km WNW of El Ángel, Ecuador",earthquake,,3.6,0.57,,reviewed,iscgem,iscgem
1923-12-10T23:53:34.770Z,12.711,49.312,15,5.75,mw,,,,,iscgem,iscgem911770,2022-04-25T23:39:33.039Z,"150 km NNW of Qandala, Somalia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1923-12-05T22:35:10.400Z,-1.401,121.004,35,6.56,mw,,,,,iscgem,iscgem911766,2022-04-25T23:39:31.863Z,"28 km E of Poso, Indonesia",earthquake,,25,0.52,,reviewed,iscgem,iscgem
1923-12-05T20:56:49.790Z,39.82,23.594,10,6.39,mw,,,,,iscgem,iscgem911765,2022-04-25T23:39:30.553Z,"18 km S of Pefkochóri, Greece",earthquake,,4.1,0.38,,reviewed,iscgem,iscgem
1923-11-28T00:34:23.970Z,54.561,-36.68,10,5.49,mw,,,,,iscgem,iscgem911755,2022-04-25T23:39:25.148Z,"Reykjanes Ridge",earthquake,,25,0.28,,reviewed,iscgem,iscgem
1923-11-26T12:18:20.450Z,-35.03,56.536,10,6.15,mw,,,,,iscgem,iscgem911753,2022-04-25T23:39:23.883Z,"South Indian Ocean",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1923-11-25T17:03:16.700Z,23.562,122.928,35,6.35,mw,,,,,iscgem,iscgem911751,2022-04-25T23:39:22.747Z,"100 km S of Yonakuni, Japan",earthquake,,8.2,0.21,,reviewed,iscgem,iscgem
1923-11-19T03:53:55.230Z,42.633,0.636,10,5.29,mw,,,,,iscgem,iscgem911743,2022-04-25T23:39:21.603Z,"9 km ENE of Benasque, Spain",earthquake,,6.7,0.4,,reviewed,iscgem,iscgem
1923-11-18T21:29:30.910Z,23.979,122.331,25,6.33,mw,,,,,iscgem,iscgem911741,2022-04-25T23:39:20.454Z,"73 km E of Hualien City, Taiwan",earthquake,,14.3,0.65,,reviewed,iscgem,iscgem
1923-11-17T02:53:20.130Z,51.319,-178.597,65,6.26,mw,,,,,iscgem,iscgem911739,2022-04-25T23:39:19.102Z,"149 km WSW of Adak, Alaska",earthquake,,15.8,0.32,,reviewed,iscgem,iscgem
1923-11-07T23:57:00.000Z,32.5,-115.5,,5.7,uk,,,,,ushis,ushis697,2018-06-04T20:43:44.000Z,"11 km SE of Progreso, Mexico",earthquake,,,,,reviewed,ushis,jon
1923-11-06T19:18:28.360Z,28.065,131.187,15,6.5,mw,,,,,iscgem,iscgem911724,2022-04-25T23:39:17.947Z,"170 km ESE of Naze, Japan",earthquake,,12.2,0.36,,reviewed,iscgem,iscgem
1923-11-06T17:15:23.250Z,-38.708,-73.182,35,6.16,mw,,,,,iscgem,iscgem911723,2022-04-25T23:39:16.690Z,"1 km W of Carahue, Chile",earthquake,,9.4,0.38,,reviewed,iscgem,iscgem
1923-11-05T22:07:00.000Z,32.5,-115.5,,5,ml,,,,,ushis,ushis696,2018-06-04T20:43:44.000Z,"11 km SE of Progreso, Mexico",earthquake,,,,,reviewed,ushis,cdmg
1923-11-05T21:28:03.400Z,28.926,130.311,35,7.18,mw,,,,,iscgem,iscgem911721,2022-04-25T23:39:15.257Z,"101 km NE of Naze, Japan",earthquake,,19.8,0.34,,reviewed,iscgem,iscgem
