time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1934-02-25T16:22:58.790Z,17.395,118.995,15,5.77,mw,,,,,iscgem,iscgem904814,2022-04-25T21:42:51.517Z,"146 km W of Cabittaogan, Philippines",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1934-02-24T06:23:48.560Z,23.105,144.009,35,7.5,mw,,,,,iscgem,iscgem904813,2022-04-25T21:42:49.790Z,"Volcano Islands, Japan region",earthquake,,13.6,0.2,,reviewed,iscgem,iscgem
1934-02-24T00:49:07.720Z,72.653,-69.337,10,5.64,mw,,,,,iscgem,iscgem904810,2022-04-25T21:09:02.264Z,"244 km N of Clyde River, Canada",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1934-02-22T08:07:18.720Z,38.29,45.008,15,5.74,mw,,,,,iscgem,iscgem904808,2022-04-25T21:42:44.115Z,"23 km ENE of Salm?s, Iran",earthquake,,5.8,0.2,,reviewed,iscgem,iscgem
1934-02-21T11:37:16.200Z,34.147,22.71,15,5.63,mw,,,,,iscgem,iscgem16963153,2022-04-25T20:35:34.873Z,"147 km WSW of Kastrí, Greece",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1934-02-21T00:40:14.030Z,34.277,22.456,15,5.58,mw,,,,,iscgem,iscgem904804,2022-04-25T21:08:56.123Z,"154 km SW of Palaióchora, Greece",earthquake,,6.2,0.2,,reviewed,iscgem,iscgem
1934-02-20T05:36:59.000Z,38.3,-118.4,,4.8,ml,,,,,ushis,ushis1039,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-19T10:24:47.910Z,-3.923,100.404,27.5,6.25,mw,,,,,iscgem,iscgem904801,2022-04-25T21:42:38.124Z,"207 km W of Bengkulu, Indonesia",earthquake,,5.5,0.21,,reviewed,iscgem,iscgem
1934-02-17T21:02:03.750Z,-3.215,129.792,15,6.04,mw,,,,,iscgem,iscgem904800,2022-04-25T21:42:32.610Z,"97 km E of Amahai, Indonesia",earthquake,,6.9,0.2,,reviewed,iscgem,iscgem
1934-02-16T01:54:53.000Z,38.3,-118.4,,4.8,ml,,,,,ushis,ushis1038,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-14T22:18:36.080Z,19.013,-105.861,15,5.99,mw,,,,,iscgem,iscgem904795,2022-04-25T21:42:31.448Z,"102 km SW of José María Morelos, Mexico",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1934-02-14T17:14:45.850Z,17.666,118.95,15,5.77,mw,,,,,iscgem,iscgem904794,2022-04-25T21:42:29.758Z,"149 km W of Puro Pinget, Philippines",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1934-02-14T03:59:39.100Z,17.496,119.292,15,7.5,mw,,,,,iscgem,iscgem904793,2022-04-25T21:42:27.958Z,"113 km W of Cabittaogan, Philippines",earthquake,,4.6,0.2,,reviewed,iscgem,iscgem
1934-02-13T09:51:46.050Z,70.895,-16.066,10,5.57,mw,,,,,iscgem,iscgem904791,2022-04-25T21:42:22.528Z,"268 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1934-02-12T22:00:54.000Z,38.3,-118.4,,4.7,ml,,,,,ushis,ushis1037,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-12T11:30:59.870Z,19.779,101.368,35,6.23,mw,,,,,iscgem,iscgem904789,2022-04-25T21:42:20.935Z,"67 km NNW of Sainyabuli, Laos",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1934-02-12T06:43:19.170Z,9.4,-83.206,35,5.8,mw,,,,,iscgem,iscgem904788,2022-04-25T21:42:19.505Z,"28 km NNE of Buenos Aires, Costa Rica",earthquake,,9.3,0.2,,reviewed,iscgem,iscgem
1934-02-11T08:59:28.590Z,-6.343,154.604,15,5.86,mw,,,,,iscgem,iscgem904787,2022-04-25T21:42:17.933Z,"97 km W of Panguna, Papua New Guinea",earthquake,,15.2,0.24,,reviewed,iscgem,iscgem
1934-02-10T22:01:51.490Z,37.247,142.466,35,5.86,mw,,,,,iscgem,iscgem904786,2022-04-25T21:42:16.097Z,"132 km ESE of Namie, Japan",earthquake,,12.7,0.21,,reviewed,iscgem,iscgem
1934-02-10T13:13:46.000Z,38.3,-118.4,,4.5,ml,,,,,ushis,ushis1036,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-09T09:28:51.730Z,-4.477,152.038,15,6.4,mw,,,,,iscgem,iscgem904784,2022-04-25T21:42:14.427Z,"29 km WSW of Kokopo, Papua New Guinea",earthquake,,30.1,0.25,,reviewed,iscgem,iscgem
1934-02-04T22:01:19.480Z,-5.022,129.471,25,6.26,mw,,,,,iscgem,iscgem904779,2022-04-25T21:42:12.629Z,"195 km SSE of Amahai, Indonesia",earthquake,,36.3,0.35,,reviewed,iscgem,iscgem
1934-02-04T13:27:19.530Z,30.691,51.495,15,6.32,mw,,,,,iscgem,iscgem904777,2022-04-25T21:42:10.915Z,"9 km WNW of Yasuj, Iran",earthquake,,25,0.31,,reviewed,iscgem,iscgem
1934-02-04T09:35:24.380Z,41.101,19.576,15,5.77,mw,,,,,iscgem,iscgem904776,2022-04-25T21:08:49.704Z,"7 km WNW of Rrogozhinë, Albania",earthquake,,7.3,0.2,,reviewed,iscgem,iscgem
1934-02-03T16:31:00.000Z,38.3,-118.4,,4.5,ml,,,,,ushis,ushis1034,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,pas
1934-02-03T14:33:14.470Z,-5.54,151.273,35,6.73,mw,,,,,iscgem,iscgem904774,2022-04-25T21:42:09.372Z,"125 km E of Kimbe, Papua New Guinea",earthquake,,14.8,0.42,,reviewed,iscgem,iscgem
1934-02-02T15:05:22.200Z,-4.259,134.297,15,6.35,mw,,,,,iscgem,iscgem904772,2022-04-25T21:42:02.373Z,"166 km SW of Nabire, Indonesia",earthquake,,6.6,0.34,,reviewed,iscgem,iscgem
1934-02-01T18:34:44.000Z,38.3,-118.4,,4.5,ml,,,,,ushis,ushis1033,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-01T13:20:45.000Z,38.3,-118.4,,4.5,ml,,,,,ushis,ushis1032,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-01T12:10:23.000Z,38.3,-118.4,,4.5,ml,,,,,ushis,ushis1031,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-01T11:45:54.000Z,38.3,-118.4,,5.4,ml,,,,,ushis,ushis1030,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-01T11:18:51.000Z,38.5,-118.25,,5.2,ml,,,,,ushis,ushis1029,2018-06-04T20:43:44.000Z,"17 km NW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-02-01T11:00:54.000Z,38.3,-118.4,,5,ml,,,,,ushis,ushis1028,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-01-31T14:26:39.000Z,38.3,-118.4,,4.6,ml,,,,,ushis,ushis1027,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-01-31T10:06:36.440Z,-15.555,-173.256,25,6.42,mw,,,,,iscgem,iscgem904768,2022-04-25T21:41:56.262Z,"72 km NE of Hihifo, Tonga",earthquake,,25.2,0.37,,reviewed,iscgem,iscgem
1934-01-31T03:54:49.000Z,38.3,-118.4,,5,ml,,,,,ushis,ushis1026,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-01-31T00:24:22.000Z,38.3,-118.4,,5,ml,,,,,ushis,ushis1025,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
1934-01-30T23:39:38.000Z,38.3,-118.4,,5.4,ml,,,,,ushis,ushis1024,2018-06-04T20:43:44.000Z,"27 km WSW of Mina, Nevada",earthquake,,,,,reviewed,ushis,sjg
